"","X","website","query","titles","location","wage","skills","lon","lat"
"1",113,"Career Builder","Data Analyst","Data Analyst III","Location: Menlo Park, CA","$100K","Dashboard",-122.1817252,37.4529598
"2",114,"Career Builder","Data Analyst","Data Analyst III","Location: Menlo Park, CA","$100K","Data Science",-122.1817252,37.4529598
"3",115,"Career Builder","Data Analyst","Data Analyst III","Location: Menlo Park, CA","$100K","Design Of Experiments",-122.1817252,37.4529598
"4",116,"Career Builder","Data Analyst","Data Analyst III","Location: Menlo Park, CA","$100K","Extract Transform Load (Etl)",-122.1817252,37.4529598
"5",117,"Career Builder","Data Analyst","Data Analyst III","Location: Menlo Park, CA","$100K","Statistics",-122.1817252,37.4529598
"6",118,"Career Builder","Data Analyst","Data Analyst III","Location: Menlo Park, CA","$100K","Tableau (Busines Intelligence Software)",-122.1817252,37.4529598
"7",434,"Career Builder","Data Scientist","Big Data Scientist","Reston, VA","$140K","Analytics",-77.3570028,38.9586307
"8",435,"Career Builder","Data Scientist","Big Data Scientist","Reston, VA","$140K","Data Science",-77.3570028,38.9586307
"9",436,"Career Builder","Data Scientist","Big Data Scientist","Reston, VA","$140K","Friendliness",-77.3570028,38.9586307
"10",437,"Career Builder","Data Scientist","Big Data Scientist","Reston, VA","$140K","Information Technology",-77.3570028,38.9586307
"11",438,"Career Builder","Data Scientist","Big Data Scientist","Reston, VA","$140K","Machine Learning",-77.3570028,38.9586307
"12",439,"Career Builder","Data Scientist","Big Data Scientist","Reston, VA","$140K","Python (Programming Language)",-77.3570028,38.9586307
"13",728,"Cyber Coders","Data Analyst","Business Analyst - Digital Marketing Agency","Johnson City, TN","Full-time $70k - $110k","ASP.NET",-82.3534727,36.3134397
"14",729,"Cyber Coders","Data Analyst","Business Analyst - Digital Marketing Agency","Johnson City, TN","Full-time $70k - $110k","C",-82.3534727,36.3134397
"15",730,"Cyber Coders","Data Analyst","Business Analyst - Digital Marketing Agency","Johnson City, TN","Full-time $70k - $110k","Large Data Sets",-82.3534727,36.3134397
"16",731,"Cyber Coders","Data Analyst","Business Analyst - Digital Marketing Agency","Johnson City, TN","Full-time $70k - $110k","Product Information Management Platform",-82.3534727,36.3134397
"17",732,"Cyber Coders","Data Analyst","Business Analyst - Digital Marketing Agency","Johnson City, TN","Full-time $70k - $110k","eCommerce Platforms",-82.3534727,36.3134397
"18",733,"Cyber Coders","Data Analyst","Business Analyst - Title/Escrow/Real Estate","Orange, CA","Full-time $60k - $70k","Business Data Analysis",-117.8531007,33.7879139
"19",734,"Cyber Coders","Data Analyst","Business Analyst - Title/Escrow/Real Estate","Orange, CA","Full-time $60k - $70k","Entrinsik Informer",-117.8531007,33.7879139
"20",735,"Cyber Coders","Data Analyst","Business Analyst - Title/Escrow/Real Estate","Orange, CA","Full-time $60k - $70k","Real Estate/Title and Escrow",-117.8531007,33.7879139
"21",736,"Cyber Coders","Data Analyst","Business Analyst - Title/Escrow/Real Estate","Orange, CA","Full-time $60k - $70k","Resware or similar software",-117.8531007,33.7879139
"22",737,"Cyber Coders","Data Analyst","Clinical Business  Analyst - oncology & research - Boston","Boston, MA","Full-time $90k - $110k","Clinical Data Analytics",-71.0588801,42.3600825
"23",738,"Cyber Coders","Data Analyst","Clinical Business  Analyst - oncology & research - Boston","Boston, MA","Full-time $90k - $110k","Data Visualization",-71.0588801,42.3600825
"24",739,"Cyber Coders","Data Analyst","Clinical Business  Analyst - oncology & research - Boston","Boston, MA","Full-time $90k - $110k","SAS",-71.0588801,42.3600825
"25",740,"Cyber Coders","Data Analyst","Clinical Business  Analyst - oncology & research - Boston","Boston, MA","Full-time $90k - $110k","SPSS",-71.0588801,42.3600825
"26",741,"Cyber Coders","Data Analyst","Clinical Business  Analyst - oncology & research - Boston","Boston, MA","Full-time $90k - $110k","SQL",-71.0588801,42.3600825
"27",742,"Cyber Coders","Data Analyst","Clinical Research Analyst","Boston, MA","Full-time $75k - $90k","Clinical Data Analytics",-71.0588801,42.3600825
"28",743,"Cyber Coders","Data Analyst","Clinical Research Analyst","Boston, MA","Full-time $75k - $90k","Project Managment",-71.0588801,42.3600825
"29",744,"Cyber Coders","Data Analyst","Clinical Research Analyst","Boston, MA","Full-time $75k - $90k","R",-71.0588801,42.3600825
"30",745,"Cyber Coders","Data Analyst","Clinical Research Analyst","Boston, MA","Full-time $75k - $90k","Research",-71.0588801,42.3600825
"31",746,"Cyber Coders","Data Analyst","Clinical Research Analyst","Boston, MA","Full-time $75k - $90k","Tableau",-71.0588801,42.3600825
"32",747,"Cyber Coders","Data Analyst","Data Analyst","Boston, MA","Compensation Unspecified","Clinical Data Analytics",-71.0588801,42.3600825
"33",748,"Cyber Coders","Data Analyst","Data Analyst","Boston, MA","Compensation Unspecified","Project Managment",-71.0588801,42.3600825
"34",749,"Cyber Coders","Data Analyst","Data Analyst","Boston, MA","Compensation Unspecified","R",-71.0588801,42.3600825
"35",750,"Cyber Coders","Data Analyst","Data Analyst","Boston, MA","Compensation Unspecified","Research",-71.0588801,42.3600825
"36",751,"Cyber Coders","Data Analyst","Data Analyst","Boston, MA","Compensation Unspecified","Tableau",-71.0588801,42.3600825
"37",752,"Cyber Coders","Data Analyst","Data Analyst","Memphis, TN","Compensation Unspecified","Data Analytics",-90.0489801,35.1495343
"38",753,"Cyber Coders","Data Analyst","Data Analyst","Memphis, TN","Compensation Unspecified","Python",-90.0489801,35.1495343
"39",754,"Cyber Coders","Data Analyst","Data Analyst","Memphis, TN","Compensation Unspecified","R",-90.0489801,35.1495343
